YM,CATEGORY,ITEM_CNT,QTY,PRICE,MAXTEMP,SALEDAY,STORE_CNT,RAIN_DAY,HOLIDAY,DUSTDAY,BASEBALL,Year,MONTH,Quart,YM,판매년월
200901,"스포츠,이온음료",12,622,1508,4,126753,4088.81,151,12,0,0,2009,1,1,CATEGORY,음료 카테고리
200902,"스포츠,이온음료",12,660,1533,9,113399,4049.96,3014,8,1,0,2009,2,1,ITEM_CNT,상품품목수
200903,"스포츠,이온음료",12,794,1554,12,129162,4166.52,1383,9,2.26,0,2009,3,1,QTY,판매량
200904,"스포츠,이온음료",12,1119,1529,19,126277,4209.23,3564,8,0.24,1,2009,4,2,PRICE,가격
200905,"스포츠,이온음료",12,1524,1529,25,129584,4180.13,9288,12,0,1,2009,5,2,MAXTEMP,기온
200906,"스포츠,이온음료",13,1480,1488,27,123218,4107.27,9998,8,0,1,2009,6,2,SALEDAY,영업(판매)일수
200907,"스포츠,이온음료",15,1509,1490,28,131083,4228.48,17405,8,0,1,2009,7,3,STORE_CNT,영업점수
200908,"스포츠,이온음료",15,1876,1490,29,130040,4194.84,7704,10,0,1,2009,8,3,RAIN_DAY,강우일수
200909,"스포츠,이온음료",15,1534,1490,27,131989,4399.63,4096,8,0.73,1,2009,9,3,HOLIDAY,휴일일수
200910,"스포츠,이온음료",15,1218,1490,22,136095,4390.16,2824,10,0.98,1,2009,10,4,DUSTDAY,황사일수
200911,"스포츠,이온음료",15,738,1490,12,136152,4538.4,3684,9,0,0,2009,11,4,BASEBALL,프로야구시즌여부
200912,"스포츠,이온음료",15,686,1490,5,137391,4431.97,216,9,3,0,2009,12,4,,
201001,"스포츠,이온음료",13,676,1488,2,141145,4553.06,792,11,0.71,0,2010,1,1,,
201002,"스포츠,이온음료",13,748,1519,7,128528,4590.29,4384,9,0,0,2010,2,1,,
201003,"스포츠,이온음료",15,986,1490,10,145771,4702.29,2940,9,4.61,0,2010,3,1,,
201004,"스포츠,이온음료",17,1080,1447,15,130412,4347.07,5973,8,1.01,1,2010,4,2,,
201005,"스포츠,이온음료",17,2537,1447,23,143681,4634.87,8656,12,0.95,1,2010,5,2,,
201006,"스포츠,이온음료",17,2050,1447,28,145035,4834.5,6325,8,0,1,2010,6,2,,
201007,"스포츠,이온음료",17,2218,1462,29,148561,4792.29,14930,9,0,1,2010,7,3,,
201008,"스포츠,이온음료",16,2467,1459,31,153056,4937.29,30531,9,0,1,2010,8,3,,
201009,"스포츠,이온음료",16,2036,1459,27,147804,4926.8,23150,11,0,1,2010,9,3,,
201010,"스포츠,이온음료",16,1470,1459,20,155952,5030.71,1337,10,0,1,2010,10,4,,
201011,"스포츠,이온음료",16,1138,1459,13,154482,5149.4,0,8,2.75,0,2010,11,4,,
201012,"스포츠,이온음료",16,877,1459,5,161292,5202.97,886,8,3.22,0,2010,12,4,,
201101,"스포츠,이온음료",16,729,1459,-1,163610,5277.74,82,10,0,0,2011,1,1,,
201102,"스포츠,이온음료",16,939,1478,7,149737,5347.75,5587,11,0,0,2011,2,1,,
201103,"스포츠,이온음료",16,1241,1534,10,169838,5478.65,919,9,2.77,0,2011,3,1,,
201104,"스포츠,이온음료",16,1457,1534,17,167577,5585.9,8244,9,0.18,1,2011,4,2,,
201105,"스포츠,이온음료",16,2285,1534,23,176452,5692,7345,10,5.84,1,2011,5,2,,
201106,"스포츠,이온음료",16,2015,1550,27,173664,5788.8,25001,9,0,1,2011,6,2,,
201107,"스포츠,이온음료",18,2253,1528,29,182676,5892.77,43058,10,0,1,2011,7,3,,
201108,"스포츠,이온음료",18,2930,1528,29,186850,6027.42,20554,9,0,1,2011,8,3,,
201109,"스포츠,이온음료",18,2264,1528,26,184270,6142.33,5373,10,0,1,2011,9,3,,
201110,"스포츠,이온음료",17,1610,1576,20,194286,6267.29,4146,11,0,1,2011,10,4,,
201111,"스포츠,이온음료",17,1216,1576,16,191703,6390.1,10027,8,0,0,2011,11,4,,
201112,"스포츠,이온음료",17,934,1576,5,201541,6501.32,489,9,0,0,2011,12,4,,
201201,"스포츠,이온음료",17,1013,1576,3,203133,6552.68,362,11,0,0,2012,1,1,,
201202,"스포츠,이온음료",17,929,1576,5,186880,6674.29,377,8,0,0,2012,2,1,,
201203,"스포츠,이온음료",19,1171,1553,11,212945,6869.19,6556,10,0.45,0,2012,3,1,,
201204,"스포츠,이온음료",19,2306,1553,18,209151,6971.7,17042,9,0,1,2012,4,2,,
201205,"스포츠,이온음료",18,3671,1544,24,215673,6957.19,2095,10,0,1,2012,5,2,,
201206,"스포츠,이온음료",20,2838,1530,28,215525,7184.17,8865,10,0,1,2012,6,2,,
201207,"스포츠,이온음료",20,3016,1530,29,203590,6567.42,25076,9,0,1,2012,7,3,,
201208,"스포츠,이온음료",20,3241,1530,30,228142,7359.42,32385,9,0,1,2012,8,3,,
201209,"스포츠,이온음료",20,2598,1560,25,223581,7452.7,23569,10,0,1,2012,9,3,,
201210,"스포츠,이온음료",19,2252,1600,21,233331,7526.81,11111,10,0,1,2012,10,4,,
201211,"스포츠,이온음료",19,1069,1600,11,229144,7638.13,4805,8,1.35,0,2012,11,4,,
201212,"스포츠,이온음료",18,882,1603,2,239129,7713.84,3706,11,0,0,2012,12,4,,
201301,"스포츠,이온음료",18,1199,1625,2,240416,7755.35,2528,9,0.16,0,2013,1,1,,
201302,"스포츠,이온음료",18,955,1625,5,217015,7750.54,6667,9,0,0,2013,2,1,,
201303,"스포츠,이온음료",17,1895,1668,12,243648,7859.61,4364,11,1.94,0,2013,3,1,,
201304,"스포츠,이온음료",18,1797,1631,15,237340,7911.33,6727,8,0.04,1,2013,4,2,,
201305,"스포츠,이온음료",20,2705,1613,23,245068,7905.42,17217,10,0,1,2013,5,2,,
201306,"스포츠,이온음료",21,3282,1626,28,236180,7872.67,7360,11,0,1,2013,6,2,,
201307,"스포츠,이온음료",22,2972,1661,29,241687,7796.35,41344,8,0,1,2013,7,3,,
201308,"스포츠,이온음료",23,4194,1657,31,240142,7746.52,22284,10,0,1,2013,8,3,,
201309,"스포츠,이온음료",24,2476,1685,26,231662,7722.07,13699,12,0,1,2013,9,3,,
201310,"스포츠,이온음료",23,1947,1693,21,239981,7741.32,3011,10,0,1,2013,10,4,,
201311,"스포츠,이온음료",23,1233,1693,12,232854,7761.8,2944,9,0,0,2013,11,4,,
201312,"스포츠,이온음료",23,1182,1693,5,240458,7756.71,202,10,0,0,2013,12,4,,
